Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
6/11/2021,6,,424.200012,424.429993,422.820007,424.309998,411.821564,45570800,,,,,
6/14/2021,2,,424.429993,425.369995,423.100006,425.26001,412.743561,42358500,,,,,
6/15/2021,3,,425.420013,425.459991,423.540009,424.480011,411.986572,51508500,,,,,
6/16/2021,4,,424.630005,424.869995,419.920013,422.109985,409.686279,80386100,,,,,
6/17/2021,5,,421.670013,423.019989,419.320007,421.970001,409.550385,90949700,,,,,
6/18/2021,6,,417.089996,417.829987,414.700012,414.920013,404.025421,118676300,,,,,
6/21/2021,2,,416.799988,421.059998,415.929993,420.859985,409.809418,72822000,,,,,
6/22/2021,3,,420.850006,424,420.079987,423.109985,412.000336,57700300,,,,,
6/23/2021,4,,423.190002,424.049988,422.51001,422.600006,411.503723,49445400,,,,,
6/24/2021,5,,424.890015,425.549988,424.619995,425.100006,413.93811,45110300,,,,,
6/25/2021,6,,425.899994,427.089996,425.549988,426.609985,415.408447,58129500,,,,,
6/28/2021,2,,427.170013,427.649994,425.890015,427.470001,416.24585,53159600,,,,,
6/29/2021,3,,427.880005,428.559998,427.130005,427.700012,416.469849,35970500,,,,,
6/30/2021,4,,427.209991,428.779999,427.179993,428.059998,416.820404,64827900,,,,,
7/1/2021,5,,428.869995,430.600006,428.799988,430.429993,419.128143,53441000,,,,,
7/2/2021,6,,431.670013,434.100006,430.519989,433.720001,422.331757,57697700,,,,,
7/6/2021,3,,433.779999,434.01001,430.01001,432.929993,421.5625,68710400,,,,,
7/7/2021,4,,433.660004,434.76001,431.51001,434.459991,423.052307,63549500,,,,,
7/8/2021,5,,428.779999,431.730011,427.519989,430.920013,419.605255,97595200,,,,,
7/9/2021,6,,432.529999,435.839996,430.709991,435.519989,424.084473,76238600,,,,,
7/12/2021,2,,435.429993,437.350006,434.970001,437.079987,425.603516,52889600,,,,,
7/13/2021,3,,436.23999,437.839996,435.309998,435.589996,424.152679,52911300,,,,,
7/14/2021,4,,437.399994,437.920013,434.910004,436.23999,424.785583,64130400,,,,,
7/15/2021,5,,434.809998,435.529999,432.720001,434.75,423.334717,55126400,,,,,
7/16/2021,6,,436.01001,436.059998,430.920013,431.339996,420.014252,75874700,,,,,
7/19/2021,2,,426.190002,431.410004,421.970001,424.970001,413.811493,147987000,,,,,
7/20/2021,3,,425.679993,432.420013,424.829987,431.059998,419.741638,99608200,,,,,
7/21/2021,4,,432.339996,434.700012,431.01001,434.549988,423.139954,64724400,,,,,
7/22/2021,5,,434.73999,435.720001,433.690002,435.459991,424.026093,47878500,,,,,
7/23/2021,6,,437.519989,440.299988,436.790009,439.940002,428.388489,63766600,,,,,
7/26/2021,2,,439.309998,441.029999,439.26001,441.019989,429.440063,43719200,,,,,
7/27/2021,3,,439.910004,439.940002,435.98999,439.01001,427.48288,67397100,,,,,
7/28/2021,4,,439.679993,440.299988,437.309998,438.829987,427.307556,52472400,,,,,
7/29/2021,5,,439.820007,441.799988,439.809998,440.649994,429.079773,47435300,,,,,
7/30/2021,6,,437.910004,440.059998,437.769989,438.51001,426.996033,68951200,,,,,
8/2/2021,2,,440.339996,440.929993,437.209991,437.589996,426.100159,58783300,,,,,
8/3/2021,3,,438.440002,441.279999,436.100006,441.149994,429.566681,58053900,,,,,
8/4/2021,4,,439.779999,441.119995,438.730011,438.980011,427.453644,46732200,,,,,
8/5/2021,5,,440.220001,441.850006,439.880005,441.76001,430.160645,38969700,,,,,
8/6/2021,6,,442.100006,442.940002,441.799988,442.48999,430.87146,46930000,,,,,
8/9/2021,2,,442.459991,442.799988,441.309998,442.130005,430.520966,41222600,,,,,
8/10/2021,3,,442.609985,443.440002,441.880005,442.679993,431.056458,43339300,,,,,
8/11/2021,4,,443.820007,443.880005,442.619995,443.779999,432.127594,44034300,,,,,
8/12/2021,5,,443.619995,445.26001,442.660004,445.109985,433.422699,38909400,,,,,
8/13/2021,6,,445.589996,445.940002,445.070007,445.920013,434.211456,39470300,,,,,
8/16/2021,2,,444.529999,447.109985,442.869995,446.970001,435.233795,73740000,,,,,
8/17/2021,3,,444.23999,444.959991,440.850006,444.040009,432.380798,92673900,,,,,
8/18/2021,4,,442.959991,444.630005,438.920013,439.179993,427.648407,89351900,,,,,
8/19/2021,5,,436.269989,441.140015,436.119995,439.859985,428.310547,92812200,,,,,
8/20/2021,6,,440.230011,443.709991,439.709991,443.359985,431.718597,72008700,,,,,
8/23/2021,2,,445.160004,448.230011,443.440002,447.26001,435.516235,54973000,,,,,
